model_name,label,x,y,z,r2_0,r2_1,r2_2,r2_3
model_0,env,0,0,0,0.6258007682818019,0.6259429206206567,0.6257786110497464,0.6257960340862869
model_0,env,1,0,0,0.8786294294001794,0.8784000711795434,0.8786955193720121,0.8785949376526228
model_0,env,2,0,0,0.925689942642663,0.9254879016658698,0.925684137867811,0.925325847340689
model_0,env,3,0,0,0.9365641570011084,0.9368359892113284,0.9366068562279397,0.9365365920542341
model_0,env,4,0,0,0.9468498196901663,0.9465897749289367,0.9464750129181329,0.9463297705214533
model_0,env,5,0,0,0.9568094837077792,0.9561094117402787,0.9561406329915327,0.9566215486926463
model_0,env,1,1,1,0.8816953467907415,0.8817282778602644,0.8819311230598805,0.8821056229649717
model_0,env,5,1,1,0.9564423165841038,0.956358161585303,0.9559255251562954,0.9562436195153365
model_0,env,4,2,2,0.9470347276669591,0.9469394534470339,0.9465709834567472,0.946334573120036
model_0,env,4,4,4,0.9464223101552176,0.9463025642394453,0.9458120476613195,0.9457937593761818
model_0,env,2,2,2,0.9263097710462213,0.9256914111987657,0.9260609170662857,0.9262594699817722
model_1,env,0,0,0,0.6258008133347264,0.6259441764746312,0.6257799028495694,0.6257961133606051
model_1,env,1,0,0,0.8673149759625022,0.8671332708489068,0.8675305940255709,0.8674160382749866
model_1,env,2,0,0,0.9212733041172322,0.9210313909788871,0.9212044398222016,0.9216939162884638
model_1,env,3,0,0,0.9345215372981923,0.9347545573093213,0.9345077829041497,0.9346035788612836
model_1,env,4,0,0,0.9481544662424014,0.9485345716276162,0.9479620154653201,0.9483763198900808
model_1,env,5,0,0,0.9564199473721812,0.9565298870916529,0.9558781372613027,0.9563607605981762
model_1,env,1,1,1,0.8683346669310111,0.8689996849729111,0.8682042283182597,0.8693063898454155
model_1,env,5,1,1,0.9558141771897111,0.9559433029349059,0.9555753149100599,0.9556904168734948
model_1,env,4,2,2,0.9472314962619978,0.9473292362304953,0.9467953875365192,0.9473278303198012
model_1,env,4,4,4,0.9466793534423421,0.9467006801295521,0.9463644609295935,0.9467131492135663
model_1,env,2,2,2,0.920197304546711,0.9202756399047154,0.9205288487365844,0.9202498347540395
model_2,env,0,0,0,0.6258007682818019,0.6259429206206567,0.6257786110497464,0.6257960340862869
model_2,env,1,0,0,0.8786294294001794,0.8784000711795434,0.8786955193720121,0.8785949376526228
model_2,env,2,0,0,0.925689942642663,0.9254879016658698,0.925684137867811,0.925325847340689
model_2,env,3,0,0,0.9365641570011084,0.9368359892113284,0.9366068562279397,0.9365365920542341
model_2,env,4,0,0,0.9468498196901663,0.9465897749289367,0.9464750129181329,0.9463297705214533
model_2,env,5,0,0,0.9568094837077792,0.9561094117402787,0.9561406329915327,0.9566215486926463
model_2,env,1,1,1,0.8816953467907415,0.8817282778602644,0.8819311230598805,0.8821056229649717
model_2,env,5,1,1,0.9564423165841038,0.956358161585303,0.9559255251562954,0.9562436195153365
model_2,env,4,2,2,0.9470347276669591,0.9469394534470339,0.9465709834567472,0.946334573120036
model_2,env,4,4,4,0.9464223101552176,0.9463025642394453,0.9458120476613195,0.9457937593761818
model_2,env,2,2,2,0.9263097710462213,0.9256914111987657,0.9260609170662857,0.9262594699817722
model_3,env,0,0,0,0.6258008133347264,0.6259441764746312,0.6257799028495694,0.6257961133606051
model_3,env,1,0,0,0.8673149759625022,0.8671332708489068,0.8675305940255709,0.8674160382749866
model_3,env,2,0,0,0.9212733041172322,0.9210313909788871,0.9212044398222016,0.9216939162884638
model_3,env,3,0,0,0.9345215372981923,0.9347545573093213,0.9345077829041497,0.9346035788612836
model_3,env,4,0,0,0.9481544662424014,0.9485345716276162,0.9479620154653201,0.9483763198900808
model_3,env,5,0,0,0.9564199473721812,0.9565298870916529,0.9558781372613027,0.9563607605981762
model_3,env,1,1,1,0.8683346669310111,0.8689996849729111,0.8682042283182597,0.8693063898454155
model_3,env,5,1,1,0.9558141771897111,0.9559433029349059,0.9555753149100599,0.9556904168734948
model_3,env,4,2,2,0.9472314962619978,0.9473292362304953,0.9467953875365192,0.9473278303198012
model_3,env,4,4,4,0.9466793534423421,0.9467006801295521,0.9463644609295935,0.9467131492135663
model_3,env,2,2,2,0.920197304546711,0.9202756399047154,0.9205288487365844,0.9202498347540395
model_4,env,0,0,0,0.6258007682818019,0.6259429206206567,0.6257786110497464,0.6257960340862869
model_4,env,1,0,0,0.8786294294001794,0.8784000711795434,0.8786955193720121,0.8785949376526228
model_4,env,2,0,0,0.925689942642663,0.9254879016658698,0.925684137867811,0.925325847340689
model_4,env,3,0,0,0.9365641570011084,0.9368359892113284,0.9366068562279397,0.9365365920542341
model_4,env,4,0,0,0.9468498196901663,0.9465897749289367,0.9464750129181329,0.9463297705214533
model_4,env,5,0,0,0.9568094837077792,0.9561094117402787,0.9561406329915327,0.9566215486926463
model_4,env,1,1,1,0.8816953467907415,0.8817282778602644,0.8819311230598805,0.8821056229649717
model_4,env,5,1,1,0.9564423165841038,0.956358161585303,0.9559255251562954,0.9562436195153365
model_4,env,4,2,2,0.9470347276669591,0.9469394534470339,0.9465709834567472,0.946334573120036
model_4,env,4,4,4,0.9464223101552176,0.9463025642394453,0.9458120476613195,0.9457937593761818
model_4,env,2,2,2,0.9263097710462213,0.9256914111987657,0.9260609170662857,0.9262594699817722
model_5,env,0,0,0,0.6258008133347264,0.6259441764746312,0.6257799028495694,0.6257961133606051
model_5,env,1,0,0,0.8673149759625022,0.8671332708489068,0.8675305940255709,0.8674160382749866
model_5,env,2,0,0,0.9212733041172322,0.9210313909788871,0.9212044398222016,0.9216939162884638
model_5,env,3,0,0,0.9345215372981923,0.9347545573093213,0.9345077829041497,0.9346035788612836
model_5,env,4,0,0,0.9481544662424014,0.9485345716276162,0.9479620154653201,0.9483763198900808
model_5,env,5,0,0,0.9564199473721812,0.9565298870916529,0.9558781372613027,0.9563607605981762
model_5,env,1,1,1,0.8683346669310111,0.8689996849729111,0.8682042283182597,0.8693063898454155
model_5,env,5,1,1,0.9558141771897111,0.9559433029349059,0.9555753149100599,0.9556904168734948
model_5,env,4,2,2,0.9472314962619978,0.9473292362304953,0.9467953875365192,0.9473278303198012
model_5,env,4,4,4,0.9466793534423421,0.9467006801295521,0.9463644609295935,0.9467131492135663
model_5,env,2,2,2,0.920197304546711,0.9202756399047154,0.9205288487365844,0.9202498347540395
model_6,env,0,0,0,0.6258007682818019,0.6259429206206567,0.6257786110497464,0.6257960340862869
model_6,env,1,0,0,0.8786294294001794,0.8784000711795434,0.8786955193720121,0.8785949376526228
model_6,env,2,0,0,0.925689942642663,0.9254879016658698,0.925684137867811,0.925325847340689
model_6,env,3,0,0,0.9365641570011084,0.9368359892113284,0.9366068562279397,0.9365365920542341
model_6,env,4,0,0,0.9468498196901663,0.9465897749289367,0.9464750129181329,0.9463297705214533
model_6,env,5,0,0,0.9568094837077792,0.9561094117402787,0.9561406329915327,0.9566215486926463
model_6,env,1,1,1,0.8816953467907415,0.8817282778602644,0.8819311230598805,0.8821056229649717
model_6,env,5,1,1,0.9564423165841038,0.956358161585303,0.9559255251562954,0.9562436195153365
model_6,env,4,2,2,0.9470347276669591,0.9469394534470339,0.9465709834567472,0.946334573120036
model_6,env,4,4,4,0.9464223101552176,0.9463025642394453,0.9458120476613195,0.9457937593761818
model_6,env,2,2,2,0.9263097710462213,0.9256914111987657,0.9260609170662857,0.9262594699817722
model_7,env,0,0,0,0.6258008133347264,0.6259441764746312,0.6257799028495694,0.6257961133606051
model_7,env,1,0,0,0.8673149759625022,0.8671332708489068,0.8675305940255709,0.8674160382749866
model_7,env,2,0,0,0.9212733041172322,0.9210313909788871,0.9212044398222016,0.9216939162884638
model_7,env,3,0,0,0.9345215372981923,0.9347545573093213,0.9345077829041497,0.9346035788612836
model_7,env,4,0,0,0.9481544662424014,0.9485345716276162,0.9479620154653201,0.9483763198900808
model_7,env,5,0,0,0.9564199473721812,0.9565298870916529,0.9558781372613027,0.9563607605981762
model_7,env,1,1,1,0.8683346669310111,0.8689996849729111,0.8682042283182597,0.8693063898454155
model_7,env,5,1,1,0.9558141771897111,0.9559433029349059,0.9555753149100599,0.9556904168734948
model_7,env,4,2,2,0.9472314962619978,0.9473292362304953,0.9467953875365192,0.9473278303198012
model_7,env,4,4,4,0.9466793534423421,0.9467006801295521,0.9463644609295935,0.9467131492135663
model_7,env,2,2,2,0.920197304546711,0.9202756399047154,0.9205288487365844,0.9202498347540395
model_8,env,0,0,0,0.6257976481446353,0.6259401035994798,0.6257744339130191,0.6257904245072387
model_8,env,1,0,0,0.873816304409763,0.8739320968819979,0.873877359053055,0.8737077257965016
model_8,env,2,0,0,0.9210029845752394,0.9214722004394125,0.9214218390063924,0.920850064408767
model_8,env,3,0,0,0.9319520360864262,0.9314266989470448,0.9318096957168498,0.9320046205745487
model_8,env,4,0,0,0.9420652793276351,0.9405287712352783,0.9409848812508781,0.9411563343085279
model_8,env,5,0,0,0.9489369598726672,0.9491859383678072,0.9494107674511905,0.9498457223836081
model_8,env,1,1,1,0.8741332470284515,0.8743492517835592,0.8745035668019888,0.8732220566215223
model_8,env,5,1,1,0.9479541391281308,0.948712955228789,0.9486768761093413,0.9481634360000425
model_8,env,4,2,2,0.9400947560546363,0.9389941327647718,0.9408263317325205,0.9406274868073099
model_8,env,4,4,4,0.9397726180936029,0.9400048087529917,0.9398623820516786,0.9411740756488614
model_8,env,2,2,2,0.919702483993254,0.9198513744548158,0.918690446781054,0.9194470354715119
model_9,env,0,0,0,0.6257975359682381,0.6259395759710313,0.6257743622919816,0.6257908128179823
model_9,env,1,0,0,0.8419612779789516,0.8415566432246279,0.8424423027846404,0.8417395378367333
model_9,env,2,0,0,0.8992666477870948,0.8992221562696021,0.8980346266077033,0.8983735230359383
model_9,env,3,0,0,0.9118126360170739,0.9117685647104598,0.9113081719143995,0.9112353335468683
model_9,env,4,0,0,0.9220645068237918,0.9226481293808723,0.9217907681972395,0.9220458903981238
model_9,env,5,0,0,0.9290466183392979,0.9302873262486339,0.9286137524887298,0.9283787015687458
model_9,env,1,1,1,0.8276540318572153,0.8284498307155839,0.8281451991418101,0.8299115329792693
model_9,env,5,1,1,0.9258322298004279,0.927114711079388,0.926039342972098,0.9254146896625999
model_9,env,4,2,2,0.9149487301062332,0.9168028497583801,0.9144394375360485,0.9152010082003433
model_9,env,4,4,4,0.9115642754693754,0.9125846881871228,0.9106740634976357,0.9118171950191051
model_9,env,2,2,2,0.8868611419450598,0.8869293491033505,0.8861460944157293,0.8878626823189364
model_10,env,0,0,0,0.6257976481446353,0.6259401035994798,0.6257744339130191,0.6257904245072387
model_10,env,1,0,0,0.873816304409763,0.8739320968819979,0.873877359053055,0.8737077257965016
model_10,env,2,0,0,0.9210029845752394,0.9214722004394125,0.9214218390063924,0.920850064408767
model_10,env,3,0,0,0.9319520360864262,0.9314266989470448,0.9318096957168498,0.9320046205745487
model_10,env,4,0,0,0.9420652793276351,0.9405287712352783,0.9409848812508781,0.9411563343085279
model_10,env,5,0,0,0.9489369598726672,0.9491859383678072,0.9494107674511905,0.9498457223836081
model_10,env,1,1,1,0.8741332470284515,0.8743492517835592,0.8745035668019888,0.8732220566215223
model_10,env,5,1,1,0.9479541391281308,0.948712955228789,0.9486768761093413,0.9481634360000425
model_10,env,4,2,2,0.9400947560546363,0.9389941327647718,0.9408263317325205,0.9406274868073099
model_10,env,4,4,4,0.9397726180936029,0.9400048087529917,0.9398623820516786,0.9411740756488614
model_10,env,2,2,2,0.919702483993254,0.9198513744548158,0.918690446781054,0.9194470354715119
model_11,env,0,0,0,0.6257975359682381,0.6259395759710313,0.6257743622919816,0.6257908128179823
model_11,env,1,0,0,0.8419612779789516,0.8415566432246279,0.8424423027846404,0.8417395378367333
model_11,env,2,0,0,0.8992666477870948,0.8992221562696021,0.8980346266077033,0.8983735230359383
model_11,env,3,0,0,0.9118126360170739,0.9117685647104598,0.9113081719143995,0.9112353335468683
model_11,env,4,0,0,0.9220645068237918,0.9226481293808723,0.9217907681972395,0.9220458903981238
model_11,env,5,0,0,0.9290466183392979,0.9302873262486339,0.9286137524887298,0.9283787015687458
model_11,env,1,1,1,0.8276540318572153,0.8284498307155839,0.8281451991418101,0.8299115329792693
model_11,env,5,1,1,0.9258322298004279,0.927114711079388,0.926039342972098,0.9254146896625999
model_11,env,4,2,2,0.9149487301062332,0.9168028497583801,0.9144394375360485,0.9152010082003433
model_11,env,4,4,4,0.9115642754693754,0.9125846881871228,0.9106740634976357,0.9118171950191051
model_11,env,2,2,2,0.8868611419450598,0.8869293491033505,0.8861460944157293,0.8878626823189364
model_12,env,0,0,0,0.6257976481446353,0.6259401035994798,0.6257744339130191,0.6257904245072387
model_12,env,1,0,0,0.873816304409763,0.8739320968819979,0.873877359053055,0.8737077257965016
model_12,env,2,0,0,0.9210029845752394,0.9214722004394125,0.9214218390063924,0.920850064408767
model_12,env,3,0,0,0.9319520360864262,0.9314266989470448,0.9318096957168498,0.9320046205745487
model_12,env,4,0,0,0.9420652793276351,0.9405287712352783,0.9409848812508781,0.9411563343085279
model_12,env,5,0,0,0.9489369598726672,0.9491859383678072,0.9494107674511905,0.9498457223836081
model_12,env,1,1,1,0.8741332470284515,0.8743492517835592,0.8745035668019888,0.8732220566215223
model_12,env,5,1,1,0.9479541391281308,0.948712955228789,0.9486768761093413,0.9481634360000425
model_12,env,4,2,2,0.9400947560546363,0.9389941327647718,0.9408263317325205,0.9406274868073099
model_12,env,4,4,4,0.9397726180936029,0.9400048087529917,0.9398623820516786,0.9411740756488614
model_12,env,2,2,2,0.919702483993254,0.9198513744548158,0.918690446781054,0.9194470354715119
model_13,env,0,0,0,0.6257975359682381,0.6259395759710313,0.6257743622919816,0.6257908128179823
model_13,env,1,0,0,0.8419612779789516,0.8415566432246279,0.8424423027846404,0.8417395378367333
model_13,env,2,0,0,0.8992666477870948,0.8992221562696021,0.8980346266077033,0.8983735230359383
model_13,env,3,0,0,0.9118126360170739,0.9117685647104598,0.9113081719143995,0.9112353335468683
model_13,env,4,0,0,0.9220645068237918,0.9226481293808723,0.9217907681972395,0.9220458903981238
model_13,env,5,0,0,0.9290466183392979,0.9302873262486339,0.9286137524887298,0.9283787015687458
model_13,env,1,1,1,0.8276540318572153,0.8284498307155839,0.8281451991418101,0.8299115329792693
model_13,env,5,1,1,0.9258322298004279,0.927114711079388,0.926039342972098,0.9254146896625999
model_13,env,4,2,2,0.9149487301062332,0.9168028497583801,0.9144394375360485,0.9152010082003433
model_13,env,4,4,4,0.9115642754693754,0.9125846881871228,0.9106740634976357,0.9118171950191051
model_13,env,2,2,2,0.8868611419450598,0.8869293491033505,0.8861460944157293,0.8878626823189364
model_14,env,0,0,0,0.6257976481446353,0.6259401035994798,0.6257744339130191,0.6257904245072387
model_14,env,1,0,0,0.873816304409763,0.8739320968819979,0.873877359053055,0.8737077257965016
model_14,env,2,0,0,0.9210029845752394,0.9214722004394125,0.9214218390063924,0.920850064408767
model_14,env,3,0,0,0.9319520360864262,0.9314266989470448,0.9318096957168498,0.9320046205745487
model_14,env,4,0,0,0.9420652793276351,0.9405287712352783,0.9409848812508781,0.9411563343085279
model_14,env,5,0,0,0.9489369598726672,0.9491859383678072,0.9494107674511905,0.9498457223836081
model_14,env,1,1,1,0.8741332470284515,0.8743492517835592,0.8745035668019888,0.8732220566215223
model_14,env,5,1,1,0.9479541391281308,0.948712955228789,0.9486768761093413,0.9481634360000425
model_14,env,4,2,2,0.9400947560546363,0.9389941327647718,0.9408263317325205,0.9406274868073099
model_14,env,4,4,4,0.9397726180936029,0.9400048087529917,0.9398623820516786,0.9411740756488614
model_14,env,2,2,2,0.919702483993254,0.9198513744548158,0.918690446781054,0.9194470354715119
model_15,env,0,0,0,0.6257975359682381,0.6259395759710313,0.6257743622919816,0.6257908128179823
model_15,env,1,0,0,0.8419612779789516,0.8415566432246279,0.8424423027846404,0.8417395378367333
model_15,env,2,0,0,0.8992666477870948,0.8992221562696021,0.8980346266077033,0.8983735230359383
model_15,env,3,0,0,0.9118126360170739,0.9117685647104598,0.9113081719143995,0.9112353335468683
model_15,env,4,0,0,0.9220645068237918,0.9226481293808723,0.9217907681972395,0.9220458903981238
model_15,env,5,0,0,0.9290466183392979,0.9302873262486339,0.9286137524887298,0.9283787015687458
model_15,env,1,1,1,0.8276540318572153,0.8284498307155839,0.8281451991418101,0.8299115329792693
model_15,env,5,1,1,0.9258322298004279,0.927114711079388,0.926039342972098,0.9254146896625999
model_15,env,4,2,2,0.9149487301062332,0.9168028497583801,0.9144394375360485,0.9152010082003433
model_15,env,4,4,4,0.9115642754693754,0.9125846881871228,0.9106740634976357,0.9118171950191051
model_15,env,2,2,2,0.8868611419450598,0.8869293491033505,0.8861460944157293,0.8878626823189364
model_16,env,0,0,0,-2.0781999792031445,-2.0750431699794856,-2.077668273961665,-2.0786302026141446
model_16,env,1,0,0,-2.0580309595031054,-2.055886267905587,-2.0602082125392536,-2.0601064068594273
model_16,env,2,0,0,-2.0422504482800505,-2.0462514399071314,-2.048388175854091,-2.050530941893506
model_16,env,3,0,0,-2.038398770627317,-2.04682475412589,-2.0411557182801556,-2.053869433050395
model_16,env,4,0,0,-2.0429578463502076,-2.0487816802572745,-2.042729201763039,-2.0481680934004864
model_16,env,5,0,0,-2.0421029631551524,-2.0493883380309397,-2.0452268344672784,-2.048825571037266
model_16,env,1,1,1,-2.0581723138355215,-2.056215716866194,-2.052045913842455,-2.0590157383748853
model_16,env,5,1,1,-2.042129749323744,-2.048723203035699,-2.047237182781576,-2.048825571037266
model_16,env,4,2,2,-2.0430104527858357,-2.048851323577758,-2.0471864970672313,-2.0481581191670863
model_16,env,4,4,4,-2.043095578037343,-2.048879464381578,-2.0471734191757336,-2.0481581191670863
model_16,env,2,2,2,-2.042974394286214,-2.050916122578188,-2.0499413662442008,-2.050678955434152
model_17,env,0,0,0,-1.986195973008213,-1.9785152804423847,-1.9856818104242433,-1.983579034571481
model_17,env,1,0,0,-1.9042548029824151,-1.8897424200846045,-1.9058838687238797,-1.8941252638187152
model_17,env,2,0,0,-1.8997255811258857,-1.900221865916555,-1.8894310393677114,-1.9069995648066644
model_17,env,3,0,0,-1.9063991999167076,-1.9238613624346574,-1.9112230386638513,-1.9066502161015322
model_17,env,4,0,0,-1.925684056190434,-1.9377429634971022,-1.9145288393546163,-1.9295226561505179
model_17,env,5,0,0,-1.9219359108510434,-1.9450484017179939,-1.9282014229206816,-1.9470864426131356
model_17,env,1,1,1,-1.9727192128060804,-1.9720250543536322,-1.9784053775463133,-1.9807536598288413
model_17,env,5,1,1,-1.963624027435455,-1.96419522926967,-1.9672829171279131,-1.9770273922051054
model_17,env,4,2,2,-1.9682606631490573,-1.9740976689993057,-1.9683668646889423,-1.9502390442268416
model_17,env,4,4,4,-2.00058377397706,-1.9803973026667832,-2.0047830506852566,-1.9967374874871324
model_17,env,2,2,2,-1.972406727876205,-1.958116037558451,-1.9580443560742142,-1.9523388375686301
model_18,env,0,0,0,-2.0781999792031445,-2.0750431699794856,-2.077668273961665,-2.0786302026141446
model_18,env,1,0,0,-2.0580309595031054,-2.055886267905587,-2.0602082125392536,-2.0601064068594273
model_18,env,2,0,0,-2.0422504482800505,-2.0462514399071314,-2.048388175854091,-2.050530941893506
model_18,env,3,0,0,-2.038398770627317,-2.04682475412589,-2.0411557182801556,-2.053869433050395
model_18,env,4,0,0,-2.0429578463502076,-2.0487816802572745,-2.042729201763039,-2.0481680934004864
model_18,env,5,0,0,-2.0421029631551524,-2.0493883380309397,-2.0452268344672784,-2.048825571037266
model_18,env,1,1,1,-2.0581723138355215,-2.056215716866194,-2.052045913842455,-2.0590157383748853
model_18,env,5,1,1,-2.042129749323744,-2.048723203035699,-2.047237182781576,-2.048825571037266
model_18,env,4,2,2,-2.0430104527858357,-2.048851323577758,-2.0471864970672313,-2.0481581191670863
model_18,env,4,4,4,-2.043095578037343,-2.048879464381578,-2.0471734191757336,-2.0481581191670863
model_18,env,2,2,2,-2.042974394286214,-2.050916122578188,-2.0499413662442008,-2.050678955434152
model_19,env,0,0,0,-1.986195973008213,-1.9785152804423847,-1.9856818104242433,-1.983579034571481
model_19,env,1,0,0,-1.9042548029824151,-1.8897424200846045,-1.9058838687238797,-1.8941252638187152
model_19,env,2,0,0,-1.8997255811258857,-1.900221865916555,-1.8894310393677114,-1.9069995648066644
model_19,env,3,0,0,-1.9063991999167076,-1.9238613624346574,-1.9112230386638513,-1.9066502161015322
model_19,env,4,0,0,-1.925684056190434,-1.9377429634971022,-1.9145288393546163,-1.9295226561505179
model_19,env,5,0,0,-1.9219359108510434,-1.9450484017179939,-1.9282014229206816,-1.9470864426131356
model_19,env,1,1,1,-1.9727192128060804,-1.9720250543536322,-1.9784053775463133,-1.9807536598288413
model_19,env,5,1,1,-1.963624027435455,-1.96419522926967,-1.9672829171279131,-1.9770273922051054
model_19,env,4,2,2,-1.9682606631490573,-1.9740976689993057,-1.9683668646889423,-1.9502390442268416
model_19,env,4,4,4,-2.00058377397706,-1.9803973026667832,-2.0047830506852566,-1.9967374874871324
model_19,env,2,2,2,-1.972406727876205,-1.958116037558451,-1.9580443560742142,-1.9523388375686301
model_20,env,0,0,0,-2.0781999792031445,-2.0750431699794856,-2.077668273961665,-2.0786302026141446
model_20,env,1,0,0,-2.0580309595031054,-2.055886267905587,-2.0602082125392536,-2.0601064068594273
model_20,env,2,0,0,-2.0422504482800505,-2.0462514399071314,-2.048388175854091,-2.050530941893506
model_20,env,3,0,0,-2.038398770627317,-2.04682475412589,-2.0411557182801556,-2.053869433050395
model_20,env,4,0,0,-2.0429578463502076,-2.0487816802572745,-2.042729201763039,-2.0481680934004864
model_20,env,5,0,0,-2.0421029631551524,-2.0493883380309397,-2.0452268344672784,-2.048825571037266
model_20,env,1,1,1,-2.0581723138355215,-2.056215716866194,-2.052045913842455,-2.0590157383748853
model_20,env,5,1,1,-2.042129749323744,-2.048723203035699,-2.047237182781576,-2.048825571037266
model_20,env,4,2,2,-2.0430104527858357,-2.048851323577758,-2.0471864970672313,-2.0481581191670863
model_20,env,4,4,4,-2.043095578037343,-2.048879464381578,-2.0471734191757336,-2.0481581191670863
model_20,env,2,2,2,-2.042974394286214,-2.050916122578188,-2.0499413662442008,-2.050678955434152
model_21,env,0,0,0,-1.986195973008213,-1.9785152804423847,-1.9856818104242433,-1.983579034571481
model_21,env,1,0,0,-1.9042548029824151,-1.8897424200846045,-1.9058838687238797,-1.8941252638187152
model_21,env,2,0,0,-1.8997255811258857,-1.900221865916555,-1.8894310393677114,-1.9069995648066644
model_21,env,3,0,0,-1.9063991999167076,-1.9238613624346574,-1.9112230386638513,-1.9066502161015322
model_21,env,4,0,0,-1.925684056190434,-1.9377429634971022,-1.9145288393546163,-1.9295226561505179
model_21,env,5,0,0,-1.9219359108510434,-1.9450484017179939,-1.9282014229206816,-1.9470864426131356
model_21,env,1,1,1,-1.9727192128060804,-1.9720250543536322,-1.9784053775463133,-1.9807536598288413
model_21,env,5,1,1,-1.963624027435455,-1.96419522926967,-1.9672829171279131,-1.9770273922051054
model_21,env,4,2,2,-1.9682606631490573,-1.9740976689993057,-1.9683668646889423,-1.9502390442268416
model_21,env,4,4,4,-2.00058377397706,-1.9803973026667832,-2.0047830506852566,-1.9967374874871324
model_21,env,2,2,2,-1.972406727876205,-1.958116037558451,-1.9580443560742142,-1.9523388375686301
model_22,env,0,0,0,-2.0781999792031445,-2.0750431699794856,-2.077668273961665,-2.0786302026141446
model_22,env,1,0,0,-2.0580309595031054,-2.055886267905587,-2.0602082125392536,-2.0601064068594273
model_22,env,2,0,0,-2.0422504482800505,-2.0462514399071314,-2.048388175854091,-2.050530941893506
model_22,env,3,0,0,-2.038398770627317,-2.04682475412589,-2.0411557182801556,-2.053869433050395
model_22,env,4,0,0,-2.0429578463502076,-2.0487816802572745,-2.042729201763039,-2.0481680934004864
model_22,env,5,0,0,-2.0421029631551524,-2.0493883380309397,-2.0452268344672784,-2.048825571037266
model_22,env,1,1,1,-2.0581723138355215,-2.056215716866194,-2.052045913842455,-2.0590157383748853
model_22,env,5,1,1,-2.042129749323744,-2.048723203035699,-2.047237182781576,-2.048825571037266
model_22,env,4,2,2,-2.0430104527858357,-2.048851323577758,-2.0471864970672313,-2.0481581191670863
model_22,env,4,4,4,-2.043095578037343,-2.048879464381578,-2.0471734191757336,-2.0481581191670863
model_22,env,2,2,2,-2.042974394286214,-2.050916122578188,-2.0499413662442008,-2.050678955434152
model_23,env,0,0,0,-1.986195973008213,-1.9785152804423847,-1.9856818104242433,-1.983579034571481
model_23,env,1,0,0,-1.9042548029824151,-1.8897424200846045,-1.9058838687238797,-1.8941252638187152
model_23,env,2,0,0,-1.8997255811258857,-1.900221865916555,-1.8894310393677114,-1.9069995648066644
model_23,env,3,0,0,-1.9063991999167076,-1.9238613624346574,-1.9112230386638513,-1.9066502161015322
model_23,env,4,0,0,-1.925684056190434,-1.9377429634971022,-1.9145288393546163,-1.9295226561505179
model_23,env,5,0,0,-1.9219359108510434,-1.9450484017179939,-1.9282014229206816,-1.9470864426131356
model_23,env,1,1,1,-1.9727192128060804,-1.9720250543536322,-1.9784053775463133,-1.9807536598288413
model_23,env,5,1,1,-1.963624027435455,-1.96419522926967,-1.9672829171279131,-1.9770273922051054
model_23,env,4,2,2,-1.9682606631490573,-1.9740976689993057,-1.9683668646889423,-1.9502390442268416
model_23,env,4,4,4,-2.00058377397706,-1.9803973026667832,-2.0047830506852566,-1.9967374874871324
model_23,env,2,2,2,-1.972406727876205,-1.958116037558451,-1.9580443560742142,-1.9523388375686301
model_0,cos,0,0,0,0.8954533752243431,0.895463101056725,0.8954640091880339,0.8954386424893168
